LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	REMARK	OV_IN_RELCL
mengatakan lembaganya menghormati proses hukum berupa praperadilan yang di-	ajukan	"tersangka. Tapi, kata Johan, """"Penyidikan jalan terus meskipun ada praperad"	Koran				
ekat dan perkembangan tingkah laku kepribadian. Model psikodinamika yang di	ajukan	Freud disebut dengan Teori Psikoanalisis (analytic theory). Menurut teori	Buku_Teks				
misteri atau konflik suatu kasus pembunuhan. Pertanyaan apa yang akan Anda	ajukan	untuk memecahkan masalah atau kejahatan itu? Pertanyaan-pertanyaan ini aka	Populer	anda	pronomina		TRUE
ah lawan komunikasi saya mengerti dengan Apakah saya menyukai apa yang saya	ajukan	? Anda perlu menjawab dan respek kepada pertanyaan ini agar lawan komunikas	Populer	saya	pronomina		TRUE
Kami sedang	ajukan	program training campdua pekan untuk waktunya bergantung pada dana. Sedang	Koran				
undang-undang tentang Anggaran Pendapatan dan Belanja Negara (APBN) yang di	ajukan	presiden (eksekutif), dan fungsi pengawasan dalam tataran implementasi yai	Jurnal				
mua prosedur dan spesifikasi yang PT Imaji Media hasil karangan yang Riefan	ajukan	.	Koran	Riefan	nomina_diri		TRUE
an pertanyaan-pertanyaan yang kamu	ajukan	adalah pokok-pokok isi buku yang akan kamu gunakan untuk merangkum.	Buku_Teks	kamu	pronomina		TRUE
etujuin. Saya waktu itu meminta copy jaminan rumah dari nasabah, untuk saya	ajukan	di kantor sebagai bantuan pengajuan kredit serta untuk keperluan cek di no	Koran	saya	pronomina		TRUE
rnada protes kau	ajukan	untuk hal-hal lain, ketika terbentur aturan sebagai anak perempuan. Bahkan	Cerpen	kau	pronomina		FALSE
spek yang bertanya seperti itu belum tentu paham dengan pertanyaan yang dia	ajukan	. Jangan terkecoh dengan pertanyaan demikian, Anda bisa menerangkan seperti	Populer	dia	pronomina		TRUE
. Bagaimana solusi yang dapat kalian	ajukan	kepada pihak kepolisian untuk mencegah terulangnya kasus tersebut?	Buku_Teks	kalian	pronomina		TRUE
emudian, saya menyebutkan sebuah angka dan saya yakin bahwa angka yang saya	ajukan	"itu akurat."""""	Populer	saya	pronomina		TRUE
ulan intens berproduksi sebagai wartawan Harian Prioritas, dia baru diminta	ajukan	surat lamaran.	Biografi				
rtanyaan ketua majelis cenderung menguji atau mengetes saksi ahli yang kami	ajukan	. Berbeda sekali dengan pertanyaan yang diajukan kepada saksi ahli dari Pri	Majalah	kami	pronomina		TRUE
ra, tidak sekedar menjawab 'ya' atau 'tidak'. Pertanyaan terbuka dapat Anda	ajukan	dengan kalimat tanya seperti bagaimana, apakah, berapa, dan lain sebagainy	Populer	anda	pronomina		FALSE
rus. Untuk itu, saya mengajukan permohonan untuk liburan. Berkali-kali saya	ajukan	, tetapi gagal. Imbasnya, saya diizinkan dengan syarat. Saya pun menyanggup	Cerpen				
ngkatan Perang dan Kementerian Negara. Ada tiga mosi tidak percaya yang dia	ajukan	,yaitu mosi Zainul Baharuddindan IrSakirman (PKI), mosi IJ Kasimo (Katolik)	Biografi	dia	pronomina		TRUE
lar memang tidak diperbolehkan menjawab pertanyaan-pertanyaan bodoh yang ia	ajukan	. Ayoveva yakin begitu Pohon Milhik dan Malaikat Filar menjawab mereka akan	Cerpen	ia	pronomina		TRUE
ho, Bandung candinya kurang satu. Ini tidak sesuai den- gan syarat yang aku	ajukan	.	Buku_Teks	aku	pronomina		TRUE
cari jarum di tengah padang pasir yang maha luas. Pertanyaan yang bisa kita	ajukan	adalah teologi apakah yang mampu dijadikan dasar untuk melakukan sebuah tr	Disertasi_Tesis_Skripsi	kita	pronomina		TRUE
lum agenda pembaharuan atau revitalisasi kelembagaan politik demokrasi kita	ajukan	dalam pembahasan ini.	Jurnal	kita	pronomina		FALSE
si promosi kesehatan dan pendekatan yang harus digunakan.pertanyaan yang di	ajukan	hendaknya sederhana.	Buku_Teks				
ftar pertanyaan yang akan kamu	ajukan	kepada para petugas kesehatan tentang penyakit pada sistem reproduksi! Dis	Buku_Teks	kamu	pronomina		TRUE
4. Coba kalian	ajukan	beberapa solusi untuk menyelesaikan kekisruhan dalam pelaksanaan Pilkada d	Buku_Teks				
ng peneliti	ajukan	kepada sekolah dan pendidik, yaitu: (1) bagi sekolah, pembentukan kultur p	Jurnal	peneliti	nomina	refer_to_first_person	TRUE
Nuraeni tak	ajukan	tanya, hanya diam di kursinya bermain dengan kuku jari sendiri selepas men	Novel				
. Mengupload dokumen persyaratan dan	ajukan	validasi,	Laman_Resmi				
ya tenggelam dalam kesedihan bertubi karena usulan proposal skripsi yang ia	ajukan	kepada Pembimbing Satu dan Pembimbing Dua ditolak dengan mantap, ditambah	Cerpen	ia	pronomina		TRUE
pun Muhammadiyah. Namun tidak semua tokoh merespon surat-surat yang penulis	ajukan	. Tokoh yang sudah penulis ajukan adalah K.H. Hilmi Aminuddin, K.H. Abdulla	Disertasi_Tesis_Skripsi	penulis	nomina	refer_to_first_person	TRUE
ka. Percaya atau tidak, tidak semua prospek memahami pertanyaan yang mereka	ajukan	kepada Anda dengan baik. Terkadang mereka hanya mendengar sekilas dari mas	Populer	mereka	pronomina		TRUE
lah melakukan kesalahan? Saat rapat, tipe pertanyaan apa yang sering mereka	ajukan	? Apakah mereka peduli dan bertanya mengenai sebab terjadinya kesalahan seh	Populer	mereka	pronomina		TRUE
n apa yang saya	ajukan	? Anda perlu menjawab pertanyaan ini agar lawan komunikasi Anda menjawab pe	Populer	saya	pronomina		TRUE
hingga jutaan jawaban diberikan oleh Google atas satu pertanyaan yang kita	ajukan	dalam hitungan detik.	Populer	kita	pronomina		TRUE
Sebelumnya, usul revisi yang dia	ajukan	ditolak Dewan Pengarah Pengembangan Kawasan Strategis dan Infrastruktur Se	Majalah	dia	pronomina		TRUE
kan istilah filsafat-teologi yang tidak dipahami, dan cerita-cerita yang ia	ajukan	kerap klise dan membosankan, tetapi ia ramah, rajin bekerja, dan cukup tam	Novel	ia	pronomina		TRUE
teliti lagi dalam memilih dan mempelajari lebih seksama tentang apa yang di	ajukan	oleh pihak terkait.	Koran				
"ya seputar agama. """"Kalau melalui saya, saya jamin tidak ada proyek yang dia"	ajukan	","""" kata Bien."	Majalah	dia	pronomina		TRUE
k dikonfirmasi kembali ke pihak indovision terkait proses refund yang bapak	ajukan	.	Koran	bapak	nomina_kerabat		TRUE
b. Apa saja solusi yang dapat kalian	ajukan	untuk mencegah terjadinya pelanggaran HAM?	Buku_Teks	kalian	pronomina		TRUE
nya, strategi yang dilakukan adalah terima perasaan petutur dahulu dan baru	ajukan	fakta lain yang bertentangan dengan apa yang dipercayai petutur. Dengan st	Disertasi_Tesis_Skripsi				
cara tradisi mereka memiliki banyak irisan. Selain itu, ide-ide yang mereka	ajukan	menjadi diskursus yang kuat di publik intelektual Islam di Indonesia.	Jurnal	mereka	pronomina		TRUE
kan penilaian sendiri (self assessment) atas calon Pihak Utama yang akan di	ajukan	kepada Otoritas Jasa Keuangan.	Surat_Resmi				
Menteri Pertahanan meng-	ajukan	calon baru dalam sidang kabinet, yaitu Kol Bambang Utoyo. Iwa Kusumasumant	Biografi				
tor meng-	ajukan	persyaratan kepada kami, yakni harus mendirikan perusahaan baru karena PT	Biografi				
uk menafsirkan media dengan mengajukan beberapa pertanyaan yang bisa mereka	ajukan	. Pilih iklan TV atau majalah dan tanyakan kepada remaja: siapa di belakang	Jurnal	mereka	pronomina		TRUE
an sebagai pemimpin kelompok. Klaim24 tentang rumusan tipologi yang penulis	ajukan	seperti tersebut di atas, berdasarkan pengecekan data berulang untuk memba	Disertasi_Tesis_Skripsi	penulis	nomina	refer_to_first_person	TRUE
34 Bercakap-cakaplah dan	ajukan	pertanyaan kreatif pada anak.	Populer				
apat menunjukkan stempel tadi kepada perusahaan mana pun yang kita inginkan	ajukan	lamaran	Biografi				
da menolak, berontak sehingga Anda takut resign. Terlalu! Segeralah keluar,	ajukan	pengunduran diri dan kelak waktu akan memberi kebahagiaan kepada Anda, buk	Populer				
ahun lalu. Tim pembela Najib dalam sidang sebelumnya pada 3 April lalu meng	ajukan	keberatan dan meminta dakwaan terhadap kliennya dibatalkan. Alasannya, dak	Koran				
jadi kunci penyelesaian konflik Rohingya. Menurut Kalla, rekomendasi itu ia	ajukan	dengan merujuk pada pengalaman empiris penyelesaian konflik sosial di Ambo	Koran	ia	pronomina		FALSE
How bagaimana. Temanya bebas seputar anak, misalkan ketika acara berkebun,	ajukan	apa yang kita tanam di kebun?	Populer				
Tiada bantahan yang dapat kami	ajukan	mengingat cerita tentang manusia di Bumi yang tinggal sisa, akibat keponga	Cerpen	kami	pronomina		TRUE
at anak berbicara hal yang tampak tidak penting bagi Anda, tetap dengarkan,	ajukan	pertanyaan, tunjukkan sikap bahwa Anda menghormati perasaan dan pendapat m	Populer				
ak pernah dikeramas. Semuanya tampak sumringah mendengar mahar yang Dihyang	ajukan	.	Cerpen	Dihyang	nomina_diri		TRUE
aktu pertanggungjawaban dana Tambahan Uang Persediaan (TUP) yang telah Kami	ajukan	sebelumnya dengan SPM Nomor:  tanggal dengan ini kami sampaikan hal-hal se	Surat_Resmi	kami	pronomina		TRUE
kelompok miskin dan marginal. Ada sembilan karakteristik yang mereka berdua	ajukan	untuk menentukan sejauh mana suatu kebijakan terkait sumber daya alam bisa	Jurnal	mereka	pronomina		TRUE
tak bisa seperti suami dalam kisah di buku itu? Itulah kini protes yang Ayu	ajukan	pada Tuhan.	Cerpen	Ayu	nomina_diri		TRUE
ri 175 ribu rumah kita bagikan LTSHE. Tahun depan 150 ribu lagi, kalau bisa	ajukan	sesegera mungkin, tapi mohon dirawat,'' ungkap Menteri ESDM dalam kunjunga	Laman_Resmi				
Jika syarat-syarat yang Anda	ajukan	telah terpenuhi, pihak bank akan segera merealisasikan kredit Anda.	Populer	anda	pronomina		TRUE
main puzzle, ambil salah satu atau beberapa bagian dari puzzle tersebut dan	ajukan	"pertanyaan terbuka, """"Apa ini dan di mana bagian ini diletakkan?"""""	Populer				
berseragam itu menahan pukulan dengan lengan dan laras bedilnya yang diaju-	ajukan	, yang justru tambah membuat Rukiyah bersemangat menyerang mereka. Karena t	Novel				
a ditolak dengan mantap, ditambah lagi proposal hubungan berpacaran yang ia	ajukan	tadi malam kepada salah seorang perempuan dalam sajaknya juga ditolak deng	Cerpen	ia	pronomina		TRUE
asi, dan sekaligus	ajukan	solusi atau rekomendasi apa yang harus dilakukan. Kalau perlu tiap minggu	Laman_Resmi				
unakan untuk menjeratnya kembali ke pelukan. Setelah ia bertekuk lutut, aku	ajukan	beberapa syarat yang mutlak dipenuhi. Salah satunya, kelak bila anak ini l	Cerpen				
yang telah saya	ajukan	dan belum diterbitkan Keputusan dan/atau Putusan atas permohonan tersebut	Populer	saya	pronomina		TRUE
Calon yang kami	ajukan	belum tentu ideal. Kami juga punya keterbatasan. Selain itu, saat ini kan	Koran	kami	pronomina		TRUE
entukan oleh sponsor tersebut. Pada konteks ini, pertanyaan yang dapat Anda	ajukan	berkenaan dengan bagaimana proposal itu dibuat agar memenuhi harapan pembi	Buku_Teks	anda	pronomina		TRUE
jalan keluar bagaimana menghilangkan kemiskinan. Namun apa pun yang mereka	ajukan	sebagai penyelesaian, tidak mungkin ia laksanakan.	Cerpen	mereka	pronomina		TRUE
Demikian permohonan ini kami	ajukan	dan atas perhatiannya kami ucapkan terima kasih.	Surat_Resmi	kami	pronomina		FALSE
4. Apa saja saran yang dapat kalian	ajukan	kepada pemerintah untuk meningkatkan peran bangsa Indonesia dalam mencipta	Buku_Teks	kalian	pronomina		TRUE
ana, apakah, berapa, dan lain sebagainya. Pertanyaan terbuka yang bisa Anda	ajukan	", misalnya, """"Apakah yang akan kita kerjakan hari ini?"""""	Populer	anda	pronomina		TRUE
Pertanyaan yang kemudian dapat Anda	ajukan	adalah bagaimana data diambil dari sumber data? Cara mengambil data dari s	Buku_Teks	anda	pronomina		TRUE
"klop pada persyaratan. """"Calon debitor tak menerima syarat kredit yang kami"	ajukan	","""" kata Sekretaris Korporat BNI Tribuana Tunggadewi, Jumat pekan lalu."	Majalah	kami	pronomina		TRUE
Masing-masing mengajukan pendapat sesuai dengan kandidat yang hendak mereka	ajukan	". """"Ada pertarungan kepentingan partai untuk mendorong kandidatnya sendiri-s"	Majalah	mereka	pronomina		TRUE
Barat, tahun 1999. Oleh karena itu. wajar jika kemudian proposal yang saya	ajukan	terpilih sebagai proposal terbaik sehingga bisa mendapatkan frekuensi pali	Biografi	saya	pronomina		TRUE
lalu. Itu terjadi beberapa pekan sebelum Senat menyetujui resolusi yang di-	ajukan	Kaine. Dibutuhkan dua pertiga suara di House dan Senat agar resolusi terha	Koran				
5 Terakhir,	ajukan	lamaran Paten-nya.	Populer				
