Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	sumber	tahun	URL	Match-begin corpus position	Match-end corpus position
14	G1A16005	yang membuat buntung Sebab umat tuan itu ketika wudu lalu	digoda olehku	begitu yang membuat buntung Nabi bertanya mengapa matamu buta Lalu	yang_SC membuat_VB buntung_JJ Sebab_SC umat_NN tuan_NN itu_PR ketika_SC wudu_VB lalu_CC	digoda_VB olehku_NN	begitu_PR yang_SC membuat_VB buntung_JJ Nabi_NNP bertanya_VB mengapa_WH matamu_NN buta_JJ Lalu_CC	G_disertasi_tesis_skripsi	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=13	15410428	15410429
15	G1A16005	Tuan itu akan berangkat ke mesjid mau sembahyang duhur terus	digoda olehku	itu yang menyebabkan buntung Bertanya lagi Nabi Rasul eh iblis	Tuan_NNP itu_PR akan_MD berangkat_VB ke_IN mesjid_NN mau_RB sembahyang_NN duhur_NN terus_RB	digoda_VB olehku_NN	itu_PR yang_SC menyebabkan_VB buntung_JJ Bertanya_VB lagi_RB Nabi_NNP Rasul_NNP eh_UH iblis_NN	G_disertasi_tesis_skripsi	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=14	15444325	15444326
16	G1A16005	Tuan itu akan berangkat ke mesjid mau sembahyang duhur terus	digoda olehku	seperti itu yang menyebabkan buntung Bertanya lagi Nabi Rasul :	Tuan_NNP itu_PR akan_MD berangkat_VB ke_IN mesjid_NN mau_RB sembahyang_NN duhur_NN terus_RB	digoda_VB olehku_NN	seperti_IN itu_PR yang_SC menyebabkan_VB buntung_JJ Bertanya_VB lagi_RB Nabi_NNP Rasul_NNP :_Z	G_disertasi_tesis_skripsi	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=15	15410393	15410394
17	K1A117027	itu , pengambilan sumpah ini merupakan janji yang bukan hanya	dihadiri oleh kita	yang hadir di sini , tetapi juga disaksikan oleh Tuhan	itu_PR ,_Z pengambilan_NN sumpah_NN ini_PR merupakan_VB janji_NN yang_SC bukan_NEG hanya_RB	dihadiri_VB oleh_IN kita_PRP	yang_SC hadir_VB di_IN sini_PR ,_Z tetapi_CC juga_RB disaksikan_VB oleh_IN Tuhan_NNP	K_laman_resmi	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=16	25432198	25432200
18	K1F111024	itu memang suatu pekerjaan yang susah-susah gampang tapi sebetulnya sangat	dihargai oleh kita	semua dan mudah-mudahan tidak jenuh atau tidak capek dimintai untuk	itu_PR memang_RB suatu_CD pekerjaan_NN yang_SC susah-susah_JJ gampang_JJ tapi_CC sebetulnya_RB sangat_RB	dihargai_VB oleh_IN kita_PRP	semua_CD dan_CC mudah-mudahan_RB tidak_NEG jenuh_JJ atau_CC tidak_NEG capek_JJ dimintai_VB untuk_SC	K_laman_resmi	2011	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=17	24118876	24118878
19	G1C19001	realitas . Foto menjadi bagian dari realitas yang dikenal dan	dihayati oleh kita	, karena realitas memang tampil kepada manusia sebagai representasi .	realitas_NN ._Z Foto_NN menjadi_VB bagian_NN dari_IN realitas_NN yang_SC dikenal_VB dan_CC	dihayati_VB oleh_IN kita_PRP	,_Z karena_SC realitas_NN memang_RB tampil_VB kepada_IN manusia_NN sebagai_IN representasi_NN ._Z	G_disertasi_tesis_skripsi	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=18	16376220	16376222
20	B3P15004	? Berapa penjualan satu bulan dan berapa tingkat kebutuhan modalnya	dihitung oleh kita	. Tingkat pengembaliannya dihitung dari usaha yang sudah berjalan ,	?_Z Berapa_WH penjualan_NN satu_CD bulan_NN dan_CC berapa_WH tingkat_NN kebutuhan_NN modalnya_JJ	dihitung_VB oleh_IN kita_PRP	._Z Tingkat_NN pengembaliannya_NN dihitung_VB dari_IN usaha_NN yang_SC sudah_MD berjalan_VB ,_Z	B_majalah	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=19	2692732	2692734
21	K1A216004	Aula Timur maupun di Aula Barat semua persiapan dan pelaksanaan	dikoordinasikan oleh kami	, " tutup Loekman . MEA 2016 : Tantangan dan	Aula_NN Timur_NNP maupun_CC di_IN Aula_NN Barat_NNP semua_CD persiapan_NN dan_CC pelaksanaan_NN	dikoordinasikan_VB oleh_IN kami_PRP	,_Z "_Z tutup_VB Loekman_NN ._Z MEA_NN 2016_CD :_Z Tantangan_NN dan_CC	K_laman_resmi	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=20	25193984	25193986
22	E1C16002	semua akan diselesaikan dengan sebaik-baiknya . Hal itu hanya dapat	dilakukan oleh hamba	yang mengetahui bahwa Allah Swt . yang Mahakuasa , Maha	semua_CD akan_MD diselesaikan_VB dengan_SC sebaik-baiknya_RB ._Z Hal_NN itu_PR hanya_RB dapat_MD	dilakukan_VB oleh_IN hamba_NN	yang_SC mengetahui_VB bahwa_SC Allah_NNP Swt_NN ._Z yang_SC Mahakuasa_JJ ,_Z Maha_NN	E_buku_teks	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=21	10384881	10384883
23	I1E17002	Sekarang tinggal kita luruskan niat bahwa apa yang dipilih dan	dilakukan oleh kita	dalam rangka beribadah kepada-Nya . ‘ Jalan mana yang kamu	Sekarang_NN tinggal_VB kita_PRP luruskan_VB niat_NN bahwa_SC apa_WH yang_SC dipilih_VB dan_CC	dilakukan_VB oleh_IN kita_PRP	dalam_IN rangka_NN beribadah_VB kepada-Nya_NN ._Z ‘_NN Jalan_NN mana_WH yang_SC kamu_PRP	I_populer	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=22	20137308	20137310
24	C1A12015	telah lancung marampas kebahagiaan aku . “Tapi apa yang bisa	dilakukan olehku	, ” katanya—bapaknya , si Old Nio itu , masih	telah_MD lancung_JJ marampas_NN kebahagiaan_NN aku_VB ._Z “Tapi_VB apa_WH yang_SC bisa_MD	dilakukan_VB olehku_NN	,_Z ”_NN katanya—bapaknya_NN ,_Z si_DT Old_FW Nio_NN itu_PR ,_Z masih_MD	C_cerpen	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=23	4259788	4259789
25	D1A20002	air . ” Sinta dan Angel melakukannya lebih dulu ,	dilanjutkan oleh aku	, Mas Aiman , dan Mas Jay . Setelah mengambang	air_NN ._Z ”_NN Sinta_NN dan_CC Angel_NNP melakukannya_VB lebih_RB dulu_NN ,_Z	dilanjutkan_VB oleh_IN aku_VB	,_Z Mas_NNP Aiman_NN ,_Z dan_CC Mas_NNP Jay_NN ._Z Setelah_SC mengambang_VB	D_novel	2020	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=24	9002413	9002415
26	C1A11050	benar-benar pulang kampung . Sesekali terdengar percakapan dalam boso osing yang hanya	dimengerti oleh kami	orang osing . Setelah enam setengah tahun mengarungi beberapa samudra	benar-benar_RB pulang_VB kampung_NN ._Z Sesekali_RB terdengar_VB percakapan_NN dalam boso_NN osing yang_NN hanya_RB	dimengerti_VB oleh_IN kami_PRP	orang_NN osing_NN ._Z Setelah_SC enam_CD setengah_CD tahun_NN mengarungi_VB beberapa_CD samudra_NNP	C_cerpen	2011	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=25	4059905	4059907
27	K1A213074	) . ÒUntuk pelayanan lansia , ini adalah keunggulan yang	dimiliki oleh kami	. Hal tersebut didasarkan kepedulian kami kepada para orang tua	)_Z ._Z ÒUntuk_NN pelayanan_NN lansia_RB ,_Z ini_PR adalah_VB keunggulan_NN yang_SC	dimiliki_VB oleh_IN kami_PRP	._Z Hal_NN tersebut_PR didasarkan_VB kepedulian_NN kami_PRP kepada_IN para_DT orang_NN tua_JJ	K_laman_resmi	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=26	24470564	24470566
28	A1ZZ14005	karena memang pada diri Muhammad terdapat sifat-sifat ideal yang seharusnya	dimiliki oleh kita	sebagai khalifah fi al-ardi . Sebagaimana dalam kitab Min Akhlaq	karena_SC memang_RB pada_IN diri_NN Muhammad_NNP terdapat_VB sifat-sifat_NN ideal_JJ yang_SC seharusnya_RB	dimiliki_VB oleh_IN kita_PRP	sebagai_IN khalifah_NN fi_NN al-ardi_NN ._Z Sebagaimana_SC dalam_IN kitab_NN Min_NNP Akhlaq_NN	A_koran	2014	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=27	499834	499836
29	A1ZZ14001	syarat-syarat doanya akan diterima . Lalu , apa sebenarnya yang	diminta oleh hamba	dalam doa-doanya ? Secara umum doa berkait dengan permohonan agar	syarat-syarat_NN doanya_NN akan_MD diterima_VB ._Z Lalu_CC ,_Z apa_WH sebenarnya_RB yang_SC	diminta_VB oleh_IN hamba_NN	dalam_IN doa-doanya_NN ?_Z Secara_IN umum_JJ doa_NN berkait_VB dengan_IN permohonan_NN agar_SC	A_koran	2014	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=28	497184	497186
30	D1A12001	Tapi aneh , jari-jariku bergeser sendiri tak terkendali . Aku	dipaksa oleh diriku	sendiri untuk mengintip dari sela-sela jariku . Kututup kembali jariku	Tapi_CC aneh_JJ ,_Z jari-jariku_NN bergeser_VB sendiri_NN tak_NEG terkendali_VB ._Z Aku_VB	dipaksa_VB oleh_IN diriku_NN	sendiri_PRP untuk_SC mengintip_VB dari_IN sela-sela_NN jariku_NN ._Z Kututup_NN kembali_VB jariku_NN	D_novel	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=29	6871066	6871068
31	E1D19004	, dan tidak perlu kita kita bawa ke Indonesia untuk	dipertengkarkan oleh kita	, sama-sama Sarjana Indonesia . Oleh karena itu , yang	,_Z dan_CC tidak_NEG perlu_MD kita_PRP kita_PRP bawa_VB ke_IN Indonesia_NNP untuk_SC	dipertengkarkan_VB oleh_IN kita_PRP	,_Z sama-sama_RB Sarjana_NN Indonesia_NNP ._Z Oleh_IN karena_SC itu_PR ,_Z yang_SC	E_buku_teks	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=30	11215350	11215352
32	I1E13002	. Kesenjangan antara permintaan dan penawaran tenaga kerja ini perlu	dipikirkan oleh kita	semua , lebih-lebih tenaga kerja yang tidak terdidik , tidak	._Z Kesenjangan_NN antara_IN permintaan_NN dan_CC penawaran_NN tenaga_NN kerja_NN ini_PR perlu_MD	dipikirkan_VB oleh_IN kita_PRP	semua_CD ,_Z lebih-lebih_RB tenaga_NN kerja_NN yang_SC tidak_NEG terdidik_VB ,_Z tidak_NEG	I_populer	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=31	19830787	19830789
33	A2FZ19013	awal Oktober nanti . " Blue and White Alliance yang	dipimpin oleh saya	tidak akan setuju untuk duduk dalam pemerintahan dengan seorang pemimpin	awal_NN Oktober_NNP nanti_NN ._Z "_Z Blue_FW and_FW White_NN Alliance_NN yang_SC	dipimpin_VB oleh_IN saya_PRP	tidak_NEG akan_MD setuju_VB untuk_SC duduk_VB dalam_IN pemerintahan_NN dengan_IN seorang_NND pemimpin_NN	A_koran	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=32	1286463	1286465
34	K1A212058	di semester 6 sebelum rasa jenuh di semester 7 juga	dirasakan oleh saya	, Ó jelasnya ketika diwawancarai di Ruang Humas Kampus Unpad	di_IN semester_NN 6_CD sebelum_SC rasa_NN jenuh_JJ di_IN semester_NN 7_CD juga_RB	dirasakan_VB oleh_IN saya_PRP	,_Z Ó_NN jelasnya_NN ketika_SC diwawancarai_VB di_IN Ruang_NN Humas_NN Kampus_NN Unpad_NN	K_laman_resmi	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=33	24234229	24234231
35	K1C113037	LINES , STCW 95 dan MARPOL 73/78 . ÒYang perlu	disadari oleh kita	semua bahwa dalam penyelengaraan keselamatan pelayaran khususnya upaya mencegah terjadinya	LINES_NN ,_Z STCW_NN 95_CD dan_CC MARPOL_NN 73/78_CD ._Z ÒYang_NN perlu_MD	disadari_VB oleh_IN kita_PRP	semua_CD bahwa_SC dalam_IN penyelengaraan_NN keselamatan_NN pelayaran_NN khususnya_NN upaya_NN mencegah_VB terjadinya_NN	K_laman_resmi	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=34	24535319	24535321
36	C1A19018	telah kualami . Mungkin peristiwa yang pernah kami alami dulu	disebabkan oleh diriku	yang belum baik . Namun , sekarang hidupku jauh lebih	telah_MD kualami_VB ._Z Mungkin_MD peristiwa_NN yang_SC pernah_MD kami_PRP alami_JJ dulu_NN	disebabkan_VB oleh_IN diriku_NN	yang_SC belum_NEG baik_JJ ._Z Namun_CC ,_Z sekarang_NN hidupku_NN jauh_JJ lebih_RB	C_cerpen	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=35	6017038	6017040
37	A2KZ18009	negara berpendapatan tinggi . Dalam penelitian kesehatan jiwa remaja yang	diselenggarakan oleh saya	bersama Kementerian Kesehatan , terungkap bahwa 18,6 persen dari 941	negara_NN berpendapatan_VB tinggi_JJ ._Z Dalam_IN penelitian_NN kesehatan_NN jiwa_NN remaja_NN yang_SC	diselenggarakan_VB oleh_IN saya_PRP	bersama_IN Kementerian_NNP Kesehatan_NNP ,_Z terungkap_VB bahwa_SC 18,6_CD persen_CD dari_IN 941_CD	A_koran	2018	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=36	1151477	1151479
38	A2KZ12010	kita semua tersadar bahwa ada masalah sangat besar yang mendesak	diselesaikan oleh kita	semua . Kondisi hubungan perusahaan dengan masyarakat harus dibuat membaik	kita_PRP semua_CD tersadar_VB bahwa_SC ada_VB masalah_NN sangat_RB besar_JJ yang_SC mendesak_VB	diselesaikan_VB oleh_IN kita_PRP	semua_CD ._Z Kondisi_NN hubungan_NN perusahaan_NN dengan_IN masyarakat_NN harus_MD dibuat_VB membaik_VB	A_koran	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=37	254173	254175
39	E1C16002	Maha Terpercaya . Allah memelihara dan menyelesaikan segala urusan yang	diserahkan oleh hamba	kepada-Nya tanpa membiarkan apa pun terbengkalai . 7. Al-Matin berarti	Maha_NN Terpercaya_JJ ._Z Allah_NNP memelihara_VB dan_CC menyelesaikan_VB segala_CD urusan_NN yang_SC	diserahkan_VB oleh_IN hamba_NN	kepada-Nya_NN tanpa_SC membiarkan_VB apa_WH pun_RP terbengkalai_VB ._Z 7._DT Al-Matin_NN berarti_VB	E_buku_teks	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=38	10388632	10388634
40	D1A13001	Mas Malaka dan Mas Aji sendiri pun bisa gugur kalau	diserang oleh kami	para awak Derap . Memang hidup bisa jadi kejam di	Mas_NNP Malaka_NNP dan_CC Mas_NNP Aji_JJ sendiri_NN pun_RP bisa_MD gugur_VB kalau_SC	diserang_VB oleh_IN kami_PRP	para_DT awak_NN Derap_NN ._Z Memang_RB hidup_NN bisa_MD jadi_VB kejam_JJ di_IN	D_novel	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=39	7132690	7132692
41	L1B12006	kantor pemerintah Kabupaten/Kota . Demikian surat panggilan ini dibuat dan	ditandatangani oleh saya	. Jurusita Pengganti 7 KETUA MAHKAMAH AGUNG REPUBLIK INDONESIA Jakarta	kantor_NN pemerintah_NN Kabupaten/Kota_NN ._Z Demikian_PR surat_NN panggilan_NN ini_PR dibuat_VB dan_CC	ditandatangani_VB oleh_IN saya_PRP	._Z Jurusita_NN Pengganti_NN 7_CD KETUA_NN MAHKAMAH_NN AGUNG_JJ REPUBLIK_NNP INDONESIA_NNP Jakarta_NNP	L_surat_resmi	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=40	27648799	27648801
42	K1J119001	yakni kerugian itu tidak akan ditanggung oleh operator , tetapi	ditanggung oleh kami	. Jadi , bagaimana caranya mereka memberikan layanan dan berfokus	yakni_SC kerugian_NN itu_PR tidak_NEG akan_MD ditanggung_VB oleh_IN operator_NN ,_Z tetapi_CC	ditanggung_VB oleh_IN kami_PRP	._Z Jadi_VB ,_Z bagaimana_WH caranya_NN mereka_PRP memberikan_VB layanan_NN dan_CC berfokus_VB	K_laman_resmi	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=41	26082269	26082271
43	K1A217043	bahwa organisasi Unsil harus segera berjalan , ini yang harus	ditata oleh kami	, " ujar Permana . Lebih lanjut Permana menuturkan ,	bahwa_SC organisasi_NN Unsil_NN harus_MD segera_RB berjalan_VB ,_Z ini_PR yang_SC harus_MD	ditata_VB oleh_IN kami_PRP	,_Z "_Z ujar_VB Permana_NN ._Z Lebih_RB lanjut_VB Permana_NN menuturkan_VB ,_Z	K_laman_resmi	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=42	25457451	25457453
44	H1A17004	orang tidak percaya nasib . Saya yakin , nasib kita	ditentukan oleh kita	sendiri . Kemudian saya dan Doni pulang naik motor .	orang_NN tidak_NEG percaya_VB nasib_NN ._Z Saya_PRP yakin_JJ ,_Z nasib_NN kita_PRP	ditentukan_VB oleh_IN kita_PRP	sendiri_PRP ._Z Kemudian_CC saya_PRP dan_CC Doni_NN pulang_VB naik_VB motor_NN ._Z	H_biografi	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=43	18371512	18371514
45	I1E13002	bukan di tangan orang lain . Baik buruknya masa depan	ditentukan oleh kita	sendiri sehingga motivasi untuk berkembang terbuka lebar . Dorongan berbentuk	bukan_NEG di_IN tangan_NN orang_NN lain_JJ ._Z Baik_CC buruknya_NN masa_NN depan_NN	ditentukan_VB oleh_IN kita_PRP	sendiri_NN sehingga_SC motivasi_NN untuk_SC berkembang_VB terbuka_VB lebar_JJ ._Z Dorongan_NN berbentuk_VB	I_populer	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=44	19819157	19819159
46	D1A20001	boleh ditafsirkan , rumus itu mutlak benar . Resep harus	diterima olehku	, oleh siapa pun , sebagai hal yang mengharamkan tafsir	boleh_MD ditafsirkan_VB ,_Z rumus_NN itu_PR mutlak_JJ benar_JJ ._Z Resep_NN harus_MD	diterima_VB olehku_NN	,_Z oleh_IN siapa_WH pun_RP ,_Z sebagai_IN hal_NN yang_SC mengharamkan_VB tafsir_NN	D_novel	2020	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=45	8947714	8947715
47	H1A20004	business , keahlian yang sejak dulu dikembangkan Pak AB dan	diteruskan oleh saya	. Pak AB dan saya belum lama ini menulis buku	business_NN ,_Z keahlian_NN yang_SC sejak_IN dulu_NN dikembangkan_VB Pak_NN AB_NN dan_CC	diteruskan_VB oleh_IN saya_PRP	._Z Pak_NN AB_NN dan_CC saya_PRP belum_NEG lama_JJ ini_PR menulis_VB buku_NN	H_biografi	2020	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=46	19111562	19111564
48	H1A13005	. Oleh karena itu , sikap manja dan kekanak-kanakan harus	ditinggalkan oleh kita	semua , jika ingin melihat negara dan bangsa ini mampu	._Z Oleh_IN karena_SC itu_PR ,_Z sikap_NN manja_JJ dan_CC kekanak-kanakan_JJ harus_MD	ditinggalkan_VB oleh_IN kita_PRP	semua_CD ,_Z jika_SC ingin_RB melihat_VB negara_NN dan_CC bangsa_NN ini_PR mampu_JJ	H_biografi	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=47	17464541	17464543
