LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL
rus usaha itu? Mengapa orang harus membelinya dari kita? Apa yang akan kita	berikan	jika ternyata produk itu belum ada7 Bagaimana kompetisinya7 Apa keuntungan	Populer	kita	pro	TRUE
~	Berikan	kesempatan untuk memilih	Majalah			
	Berikan	aku 1.000 orang tua, niscaya akan kucabut semeru dari akarnya. Berikan aku	Majalah			
siswa tersebut adalah 7,88. Kalau dirata-ratakan lagi, sekolah negeri mem-	berikan	nilai rata-rata 7,85 kepada siswanya dan 7,94 sekolah swasta, katanya.	Koran			
rampilan saja ternyata tidak dapat menjamin asuhan atau pertolongan yang di	berikan	dapat memberikan hasil maksimal atau memenuhi standar kualitas pelayanan d	Buku_Teks			
Konsumsi semua yang Tuhan	berikan	di atas bumi, berarti bukan memilih makanan yang manusia ciptakan. Bukan d	Majalah	Tuhan	noun	TRUE
~	Berikan	Pembekalan Bela Negara, Menhan Ingatkan Mahasiswa UMJ Agar Waspada dan Jan	Laman_Resmi			
rti yang saya minta sebelumnya, beliau bilang lupa, Dan di janjikan akan di	berikan	bersamaan saat beliau survey di kantor saya 2-3 hari ke depan. Saya menawa	Koran			
apat gangguan jalan napas segera	berikan	suplementasi oksigen. Indikasi untuk melakukan intubasi endotrakea adalah:	Buku_Teks			
"ologis (termasuk hal yang perlu diperhatikan; jika panduan untuk permainan,"	berikan	aturan permainannya).	Buku_Teks			
Pada waktu makan,	berikan	"pilihan pada anak dengan bertanya, """"Apakah Adek ingin ayam atau ikan?"""""	Populer			
sih mengandung risiko. Kami belum dapat apa-apa, kami harus tenang dan bisa	berikan	120 persen di kandang untuk memenangkan pertandingan legkedua, ujar Milo.	Koran			
mulasi janin akan memperkuat jaringan sel otak sehingga pelajaran yang Anda	berikan	akan tersimpan dalam memorinya dengan kuat. Belajar sedikit tapi sering le	Populer	anda	pro	TRUE
edang membangun markas. Aku tidak keberatan, memenuhi semua daftar yang dia	berikan	.	Novel	dia	pro	TRUE
Perbedaan Keilmuan	Berikan	Keunggulan	Laman_Resmi			
1	Berikan	bobot masing-masing faktor strategis, dengan skala 1,0 (sangat penting) sa	Disertasi_Tesis_Skripsi			
dan	berikan	penjelasan?	Buku_Teks			
ya sekadar memberi tahu bahwa laporan yang Anda buat minggu lalu telah saya	berikan	kepada Pandia untuk dibaca dan ia memberi tahu saya bahwa ada beberapa per	Populer	saya	pro	TRUE
25	Berikan	pesan Anda dalam secarik kertas.	Populer			
dian ia / duduk bersama-sama itu. Jikalau demikan, Baladewa ini baiklah aku	berikan	beristeri supaya kerajaan di Negeri lain. / Setelah sudah ia berpikir yang	Disertasi_Tesis_Skripsi	aku	pro	FALSE
Nya adalah jalan untuk selalu dekat kepada-Nya dan sesuatu yang telah Allah	berikan	adalah yang terbaik untuk seluruh makhluk-Nya.	Disertasi_Tesis_Skripsi	Allah	proper_noun	TRUE
2	Berikan	contoh bahwa iklim dapat memengaruhi perubahan ruang dan interaksi antarru	Buku_Teks			
engetahui dengan baik bagaimana proses persalinan serta asuhan yang akan di	berikan	, maka mereka meraskan rasa nyaman (Enkin, Et al, 2000).	Buku_Teks			
ung memejamkan mata seraya membayangkan gambaran seperti yang ibu guru saya	berikan	. Keyakinan itu kian kuat untuk bisa mencapai apa yang telah saya bayangkan	Populer	ibu guru saya	noun	TRUE
jaminan, Anda bisa menyesuaikan antara pinjaman dan jaminan yang akan Anda	berikan	. Misalnya, jika Anda hanya membutuhkan dana sebesar lima juta, jaminan yan	Populer	anda	pro	TRUE
ang itu, 14 pemain dipecat. Blanco membantah anggapan bahwa latihan yang ia	berikan	"terlalu berat. """"Latihan ini baru lima persen dibanding di Argentina,"""" kata"	Majalah	ia	pro	TRUE
ls. Di bagian nickname, isi dengan nama unik yang akan dipakai pada akunmu.	Berikan	juga password untuk akunmu.	Populer			
bungimu secara otomatis, lalu kamu diminta menuliskan pin yang sudah mereka	berikan	.	Populer	mereka	pro	TRUE
kepada prospek bahwa Anda memahami atau mengenal area tersebut. Jika perlu,	berikan	laporan. Prospek lebih menyukai melakukan bisnis dengan orang yang memberi	Populer			
kami	berikan	fakta soal penggunaan	Majalah			
o pendek yang saya	berikan	itu tetap akan menjalar dari Kepala Desa ke pasar dan telinga-telinga para	Novel	saya	pro	TRUE
isi tentang kepedulianmu kepada teman yang berkebutuhan khusus. Selanjutnya	berikan	kepada gurumu untuk diperiksa dan dikoreksi. Akhirnya sharingkan tulisanmu	Buku_Teks			
n	berikan	obat anti hipertensi bila tekanan darah tinggi, untuk memastikan bahwa sem	Disertasi_Tesis_Skripsi			
kap yang dapat kalian ambil untuk kehidupan di masyarakat. Oleh karena itu,	berikan	penilaian sikap terhadap dirimu sendiri dan teman selama pembelajaran perm	Buku_Teks			
bagi kesatuan-kesatuan TNI tatkala perang kemerdekaan berlangsung, juga ia	berikan	.	Buku_Teks			
Subuh tadi belum sampai seratus lima puluh ribu. Seratus ribunya harus dia	berikan	ke Mang Duloh, bandar bawang, untuk pembayaran bawang putih dan bawang mer	Cerpen	dia	pro	FALSE
i dan kompresi dada. Jika bradikardia menetap atau respons hanya sementara,	berikan	epinefrin IV 0,01 mg/kg (0,1ml/kg larutan 1:10000) atau jika tidak terdapa	Buku_Teks			
informatif dalam berkomunikasi dengan pasiennya. Informasi yang partisipan	berikan	cukup superficial. Misalnya: pa ini obatnya diminum, Bu mau dipasang infus	Disertasi_Tesis_Skripsi	partisipan	noun	TRUE
i bawah ini secara singkat akan kami	berikan	kesimpulan-kesimpulan atas tema Gagasan Dasar dan Pemikiran Multikulturali	Populer	kami	pro	FALSE
jiwaan seseorang, utamanya yang berhubungan dengan saraf dan energi. Kedua,	berikan	terapi yang dianjurkan oleh dokter. Terapi bisa dilakukan di klinik dan di	Populer			
n sekali nonton bioskop tapi ayahnya menggandengnya ke gedung wayang orang.	Berikan	semua rejekimu nanti ke ibumu, Soekram, kalau kau sudah kerja. Ayahmu trom	Novel			
member di grup tempat Anda bergabung. Nah, dalam jawaban-jawaban yang Anda	berikan	untuk member grup, jika memungkinkan Anda bisa sekaligus mengenalkan blog	Populer	anda	pro	TRUE
g. Cobalah bersabar dan positif,	berikan	dia pujian atas usaha yang dia lakukan. Berikan pengertian pada anak bahwa	Populer			
~	Berikan	contoh pada anak, bagaimana menulis sesuai dengan apa yang dibaca anak. Me	Populer			
gritas apa saja yang bisa Anda	berikan	dan tunjukkan dalam menjalankan bisnis NetWork Marketing?	Populer	anda	pro	TRUE
ng Anda ketahui tentang suspens?	Berikan	contoh dari novel yang pernah Anda baca!	Buku_Teks			
Selama bermain, melakukan perawatan,	berikan	komentar (commenting) untuk memberikan gambaran atau menjelaskan sesuatu.	Populer			
n penampilan mereka, ikut tertawa ketika ada tontonan yang lucu yang mereka	berikan	, ikut mengapresiasi penampilan mereka, dan akhirnya kami pun memberikan fe	Populer	mereka	pro	TRUE
bahwa ia ingin meniduri Tin, pasti berapapun uang yang dipinta oleh Jon ia	berikan	.	Cerpen			
a faktor lingkungan cukup dominan dalam menentukan jenis kelamin orgasnime.	Berikan	contoh kasus tersebut dan jelaskan mekanisme penentuan jenis kelaminnya!	Buku_Teks			
~	Berikan	label atau penamaan terhadap benda atau sesuatu yang dia tunjuk.	Populer			
omi pas-pasan. Sewaktu SD, saya berjualan kue dan uang yang saya dapat saya	berikan	semua untuk Mama. Di SMA, saya bisa menghidupi diri sendiri dengan mengaja	Biografi	saya	pro	FALSE
"budaya kerja, serta kedisiplinan pegawai. """"Perubahan itu tidak mudah. Kita"	berikan	"nuansa baru bagi ASN,"""" imbuh mantan Wakil Walikota Batam ini."	Laman_Resmi			
b.	Berikan	100 ml/kg untuk berat 10 kg petama	Disertasi_Tesis_Skripsi			
gan rumah. Hubungi mereka untuk mengatur jadwal pertemuan lebih lanjut atau	berikan	informasi yang akan membantu mereka membuat keputusan untuk membeli. Tamba	Populer			
Ujian seperti apa yang akan dia	berikan	"?"""" Seli bertanya. """"Apakah kita harus melawan teknik bertarung miliknya? Ata"	Novel	dia	pro	TRUE
n jawaban yang akan ia	berikan	. Jika ia menjawab sudah, berarti ia harus segera berpamitan, sebab tentu s	Novel	ia	pro	TRUE
Field	Berikan	Sembako Untuk Dapur Umum	Laman_Resmi			
kap yang dapat kalian ambil untuk kehidupan di masyarakat. Oleh karena itu,	berikan	penilaian sikap terhadap dirimu sendiri dan teman selama pembelajaran penc	Buku_Teks			
* Monitor tanda vital,	berikan	oksigen, pertahankan perfusi oksigen ke jaringan.	Buku_Teks			
a sekaligus sukses prestasi olahraga. Komitmen ini secara serius telah kita	berikan	sejak awal dengan mengawal prestasi atlet yang akan bertanding, oleh karen	Laman_Resmi	kita	pro	FALSE
Pertamina	Berikan	Sanksi Agen dan SPPBE di Sumatera Utara	Laman_Resmi			
"yawarah antara mereka; dan mereka menafkahkan sebagian dari rezki yang Kami"	berikan	kepada mereka. (Q.S. Asy-Syura : 38)	Buku_Teks	kami	pro	TRUE
kerajaan, Engkau	berikan	kerajaan kepada orang yang Engkau kehendaki dan Engkau cabut kerajaan dari	Biografi			
"menurut Anda jiwa kepemimpinan upline """"X"""" belum terasah, motivasi yang dia"	berikan	sangat kurang, dan bantuannya kepada Anda hanya dilakukan setengah hati. J	Populer	dia	pro	TRUE
ds, 2009). Kemampuan awal mahasiswa akan mempengaruhi perhatian yang mereka	berikan	pada materi atau tugas perkulihan (Eilks and Byers, 2010) pada lingkungan	Jurnal	mereka	pro	TRUE
~	Berikan	contoh selalu bersemangat dan keinginan untuk belajar	Populer			
i menunjukkan bahwa ketika dua benda bersentuhan, dua buah gaya yang mereka	berikan	satu sama lain selalu memiliki besar yang sama dan arah yang berlawanan. I	Disertasi_Tesis_Skripsi	mereka	pro	TRUE
rat hanya mampu mengidentifikasi hoaks sebanyak 25%-50% dari soal yang kami	berikan	. Sementara, 31,5% tidak mampu mengidentifikasi sama sekali dan 7,7% memili	Koran	kami	pro	TRUE
sedikit daripada yang ditinggalkan. Mengambil secukupnya daripada yang dia	berikan	pada alam.	Cerpen	dia	pro	TRUE
in.	Berikan	argumenyangdapatditerima,mengapa pekerjaanAndasamaatauberbedadengan milik	Buku_Teks			
2	Berikan	alasan mengapa sistem kepartaian yang dianut pada tahun 1950an adalah mult	Buku_Teks			
Undanglah orang sebanyak mungkin dan	berikan	informasi pentingnya. Suatu saat nanti Anda pasti akan bertemu dengan oran	Populer			
dan luar negeri ternama. Kalau lulus, akomodasi dan biaya kuliah akan kami	berikan	hingga sarjana, bahkan doktor (S-3). Selain itu, secara bertahap, standard	Biografi	kami	pro	FALSE
~	Berikan	perhatian positif saat anak Anda tertarik dengan sebuah buku, misalnya den	Populer			
rangka pengurusan haji, Bank dapat memberikan talangan haji atau tidak mem-	berikan	talangan haji. Dalam hal Bank memberikan talangan haji , maka:	Surat_Resmi			
internet. Tuliskan informasi yang disampaikan dari iklan yang kalian amati.	Berikan	juga tanggapan terhadap iklan yang kamu amati. Apakah iklan menarik dan je	Buku_Teks			
tahu, itu sesuatu yang layak dia terima atas banyak bantuan yang telah dia	berikan	.	Novel	dia	pro	TRUE
i dunia ini. Kami tidak bisa lari terus?menerus. Jika pasukan itu tidak mem?	berikan	pilihan, aku akan melawan. Sarung tangan yang ku?kena?kan semakin gelap pe	Novel			
gkinan risiko oleh setiap pakar k = 1,2,...r untuk seluruh pemicu risiko i.	Berikan	penilaian dampak risiko oleh setiap pakar k untuk seluruh pemicu risiko i.	Jurnal			
Ajukan pertanyaan dan	berikan	tanggung jawab, lalu solusi kreatif akan memuaskan Anda.	Populer			
Setelah Anda menulis penawaran,	berikan	satu salinan penawaran kepada pembeli. Permintaan ini untuk melindungi pem	Populer			
Untuk mendorong anak membaca,	berikan	bahan tulisan surat-surat yang diterima. Apabila anak belum bisa baca. And	Populer			
d ke-15 (AR Latief, 1995) Hal ini ditandai dengan adanya Cap Sikureung yang	berikan	oleh Kesultanan Aceh. Untuk mengkoordinir wilayah yang luas, Kerajaan Buki	Biografi			
ini. Di tanah suci kelak, Anda akan kekurangan waktu untuk istirahat. Maka,	berikan	pada tubuh, apa yang menjadi haknya sebelum berangkat agar tetap bugar sel	Populer			
mudah diketahui orang lain. Semakin terbuka dan banyak informasi yang kita	berikan	kepada orang tersebut, hasilnya semakin akrab hubungan antarpribadi. Semis	Buku_Teks	kita	pro	TRUE
etapi diobservasi. Jika tidak ada efek dan tidak ada tanda-tanda toksisitas	berikan	dosis tambahan	Buku_Teks			
dian pilihlah beberapa arti hidup yang kamu sukai dari tulisan tersebut dan	berikan	alasan mengenai hal tersebut.	Buku_Teks			
gembira perut-perut lapar yang ia tinggalkan Subuh tadi ketika nantinya ia	berikan	bungkusan itu. Mungkin siangnya mereka sudah menyantap seadanya yang bisa	Cerpen			
18	Berikan	penutup luka yang steril pada tempat kanulasi.	Buku_Teks			
ikenal, reputasi Anda pun bisa semakin baik apabila solusi-solusi yang Anda	berikan	merupakan solusi jitu yang bermafaat bagi mereka.	Populer	anda	pro	TRUE
"ka dengan pengetahuan dan keterampilan kerja di luar sektor tradisional; 4)"	berikan	perlindungan untuk menyelenggarakan kehidupan sosial budaya mereka agar da	Jurnal			
uk mem	berikan	penghormatan terakhirnya.	Koran			
Pertamina	Berikan	Kesempatan Para Jurnalis ikuti Program S2. Melalui Kerjasama Pertamina den	Laman_Resmi			
"Tengkuk Yasmin meremang. """"Ia"	berikan	"kepada Saman."""""	Novel			
ini pihak JNE tidak ada yg menghubungi saya apabila memang alamat yang saya	berikan	kurang jelas. Padahal selama ini saya sering melakukan online shop ataupun	Koran	saya	pro	TRUE
rah (sesuai asal daerah) yang kalian anggap paling penting untuk dilakukan.	Berikan	alasan mengapa kebijakan itu penting untuk dilakukan, apa manfaatnya bagi	Buku_Teks			
karyawan Anda wajib dihargai dan dibayar sesuai dengan kinerja yang mereka	berikan	kepada bisnis Anda. Jika Anda menghargai mereka, maka mereka akan menikmat	Populer	mereka	pro	TRUE
jang rumah sakit? Apakah ia sudah mati? Lantas apa yang selama ini sudah ia	berikan	kepada keluarganya? Apa yang sudah ia lakukan selama ini?	Populer	ia	pro	TRUE
"iga Albania itu. """"Mental pemain harus diubah karena porsi latihan yang saya"	berikan	"memang tidak gampang."""""	Majalah	saya	pro	TRUE
aga. Jangan dengarkan bisikan setan, syukurilah nikmat kehidupan yang Allah	berikan	. Jika kita telah sadar akan hal ini, tentu rasa kepedulian akan menyertai	Populer	Allah	proper_noun	TRUE
jawab, bayarannya telah saya terima berupa pelajaran Bahasa Inggris yang ia	berikan	.	Biografi	ia	pro	TRUE
ambilnya. Anda harus kreatif dalam menyampaikan pesan bahwa paket yang Anda	berikan	itu sangat berharga. Ciptakan pula kesan kalau mereka akan rugi jika tidak	Populer	anda	pro	TRUE
jaket kulit, termasuk cara merawat barang-barang kulit. Hal ini dapat Anda	berikan	sebagai tips bagi pembeli.	Populer	anda	pro	FALSE
an kurir sepeda. Namun masih bisa bertahan di lingkup lokal karena bisa mem-	berikan	layanan pengantaran lebih cepat. Sayangnya, karena paket kiriman kurir sep	Majalah			
kental atau bolus cepat, dan	berikan	NaCl fisiologis bolus mengikuti setiap pemberian obat untuk mencapai sirku	Buku_Teks			
ka. Pastikan pula mereka harus segera membaca atau menonton paket yang Anda	berikan	. Selanjutnya, buatlah janji bahwa dalam beberapa hari Anda akan kembali un	Populer	anda	pro	TRUE
anya mem berikan informasi pribadi kepada pejabat pemerintah, tapi juga mem	berikan	laporan tentang orang, ken daraan, dan eventyang mereka curigai. Lalu poli	Koran			
~	Berikan	pemahaman pada anak Anda mengenai manfaat banyak membaca. Beri motivasi ke	Populer			
u nanti, aku yang selalu ia bangga-banggakan karena kepandaianku yang Tuhan	berikan	, ternyata tidak bisa lolos tes pegawai negeri.	Cerpen	Tuhan	noun	TRUE
orong kereta belanja, maka gaya total yang terjadi merupakan gaya yang kita	berikan	dikurangi gaya gesek antara kereta tersebut dengan lantai. Jika kita mendo	Disertasi_Tesis_Skripsi	kita	pro	TRUE
peka terhadap intensitas kebohongan itu. Bila terlalu sering maka sebaiknya	berikan	masukan yang lebih intensif atau konsultasikan kepada tenaga profesional.	Majalah			
dapat tercapai atau tidak dengan mengacu pada strategi yang akan ditempuh.	Berikan	alasan yang memadai.	Buku_Teks			
6	Berikan	saran yang jelas untuk mengantisipasi hal tersebut agar tidak terulang	Buku_Teks			
	Berikan	saja ke Yuki dan Kiko, Togar. Cucu Guru Bushi berhak mendapatkan apa pun,	Novel			
jib mem-	berikan	pupuk susulan setelah penjarangan dan penyiangan dilakukan, tepatnya saat	Populer			
innya. Dari perincian yang dibuai, pertanyaan yang Tanya dapat tanyakan dan	berikan	informasi lebih lanjut.	Populer			
a terlalu dini. Pada usia ini, bayi lebih tertarik menggigit buku yang Anda	berikan	. Namun pada akhir tahun pertama, dia mungkin sudah memilih aktivitas favor	Populer	anda	pro	TRUE
~	berikan	, belum tentu cespleng.	Majalah			
tinya. Sudah ada beberapa kurikulum nasional. Dari yang sudah ada saat ini,	berikan	kebebasan kepada sekolah dan pendidik untuk memilih kurikulum dan memodifi	Koran			
Semoga program yang kami	berikan	dapat dirasakan manfaatnya bagi para pelaku UMKM untuk dapat kembali berdi	Laman_Resmi	kami	pro	TRUE
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
bih luas, kita berikan akses masyarakat pada produk-produk pengadilan. Kita	berikan	putusan dan penetapan pengadilan yang lebih cepat dan lebih mudah. Lebih d	Laman_Resmi			
njadikan peserta didik berlomba memberikan hasil yang terbaik yang dapat ia	berikan	.	Disertasi_Tesis_Skripsi	ia	pro	TRUE
e)	Berikan	informasi secepat yang kita bisa.	Populer			
ya kebutuhan tubuh. Prinsip dalam memilih menu, manfaatkan semua yang Tuhan	berikan	. Maka semestinya menjadi pemakan segala suka, kecuali bagi mereka yang men	Majalah	Tuhan	noun	TRUE
h Satu Finalis Pilmapres Nasional 2019, Annisa Dewi Nugrahani Berharap Bisa	Berikan	yang Terbaik untuk Unpad	Laman_Resmi			
* Jika didapatkan hipoglikemia,	berikan	cairan dekstrosa 25% 2 ml/kgBB.	Buku_Teks			
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
Berdasarkan penjelasan tersebut	berikan	komentar untuk pengelompokan cerita fantasi berikut!	Buku_Teks			
sword di bawahnya.	Berikan	nama akun di bawahnya. Kemudian cek pada Sesuaikan Twitter Berdasarkan Sit	Populer			
"yakiti hati rakyat. """"Kita tidak boleh tebang pilih, harus transparan, serta"	berikan	kemudahan dan berorientasi pada kepentingan bersama. Contohnya ijin kegiat	Laman_Resmi			
SMK. Ini akan kita lanjutkan dengan yang namanya KIP Kuliah. Kartu ini kita	berikan	anak-anak kita SMA, SMK yang ingin melanjutkan ke akademi, perguruan tingg	Koran	kita	pro	FALSE
